"participant";"environment";"trial";"option";"attribute"
44;"compensatory";1;3;"b"
44;"compensatory";1;1;"s"
44;"compensatory";1;1;"s"
44;"compensatory";1;1;"f"
44;"compensatory";1;1;"f"
44;"compensatory";1;1;"f"
44;"compensatory";1;1;"f"
44;"compensatory";1;1;"f"
44;"compensatory";1;1;"b"
44;"compensatory";1;1;"b"
44;"compensatory";1;1;"b"
44;"compensatory";1;1;"b"
44;"compensatory";1;1;"b"
44;"compensatory";1;1;"b"
44;"compensatory";1;1;"s"
44;"compensatory";1;1;"s"
44;"compensatory";1;1;"b"
44;"compensatory";1;1;"b"
44;"compensatory";1;3;"b"
44;"compensatory";1;3;"b"
44;"compensatory";1;3;"s"
44;"compensatory";1;1;"s"
44;"compensatory";1;1;"s"
44;"compensatory";1;1;"p"
44;"compensatory";1;1;"p"
44;"compensatory";1;1;"f"
44;"compensatory";1;1;"p"
44;"compensatory";1;1;"s"
44;"compensatory";1;1;"s"
44;"compensatory";1;1;"s"
44;"compensatory";1;1;"s"
44;"compensatory";1;1;"s"
44;"compensatory";1;1;"s"
44;"compensatory";1;1;"p"
44;"compensatory";1;1;"p"
44;"compensatory";1;1;"p"
44;"compensatory";1;1;"p"
44;"compensatory";1;1;"p"
44;"compensatory";1;1;"f"
44;"compensatory";1;1;"f"
44;"compensatory";1;3;"b"
44;"compensatory";1;3;"s"
44;"compensatory";1;3;"s"
44;"compensatory";1;3;"s"
44;"compensatory";1;3;"p"
44;"compensatory";1;3;"f"
44;"compensatory";1;1;"p"
44;"compensatory";1;1;"p"
44;"compensatory";1;1;"f"
44;"compensatory";1;2;"s"
44;"compensatory";1;2;"s"
44;"compensatory";1;2;"p"
44;"compensatory";1;2;"p"
44;"compensatory";1;2;"f"
44;"compensatory";1;2;"f"
44;"compensatory";1;2;"f"
44;"compensatory";1;2;"f"
44;"compensatory";1;2;"p"
44;"compensatory";1;2;"p"
44;"compensatory";1;2;"s"
44;"compensatory";1;2;"s"
44;"compensatory";1;2;"s"
44;"compensatory";1;4;"p"
44;"compensatory";1;4;"p"
44;"compensatory";1;4;"f"
44;"compensatory";1;4;"f"
44;"compensatory";1;4;"s"
44;"compensatory";1;4;"s"
44;"compensatory";1;4;"s"
44;"compensatory";1;4;"s"
44;"compensatory";1;4;"f"
44;"compensatory";1;4;"f"
44;"compensatory";1;2;"f"
44;"compensatory";1;2;"f"
44;"compensatory";1;2;"f"
44;"compensatory";1;2;"f"
44;"compensatory";1;2;"p"
44;"compensatory";1;4;"f"
44;"compensatory";1;4;"f"
44;"compensatory";1;4;"b"
44;"compensatory";1;4;"b"
44;"compensatory";1;4;"b"
44;"compensatory";1;4;"b"
44;"compensatory";1;4;"b"
44;"compensatory";1;4;"b"
44;"compensatory";1;3;"s"
44;"compensatory";1;3;"b"
44;"compensatory";1;1;"b"
44;"compensatory";1;1;"b"
44;"compensatory";2;2;"b"
44;"compensatory";2;2;"f"
44;"compensatory";2;3;"f"
44;"compensatory";2;3;"f"
44;"compensatory";2;3;"s"
44;"compensatory";2;3;"b"
44;"compensatory";2;3;"s"
44;"compensatory";2;3;"s"
44;"compensatory";2;3;"p"
44;"compensatory";2;2;"f"
44;"compensatory";2;2;"f"
44;"compensatory";2;2;"b"
44;"compensatory";2;2;"s"
44;"compensatory";2;2;"s"
44;"compensatory";2;2;"s"
44;"compensatory";2;3;"f"
44;"compensatory";2;3;"f"
44;"compensatory";2;3;"b"
44;"compensatory";2;3;"b"
44;"compensatory";2;3;"s"
44;"compensatory";2;4;"s"
44;"compensatory";2;4;"s"
44;"compensatory";2;4;"b"
44;"compensatory";2;4;"b"
44;"compensatory";2;1;"b"
44;"compensatory";2;1;"b"
44;"compensatory";2;4;"p"
44;"compensatory";2;4;"p"
44;"compensatory";2;4;"b"
44;"compensatory";2;4;"b"
44;"compensatory";2;4;"f"
44;"compensatory";2;4;"f"
44;"compensatory";2;4;"b"
44;"compensatory";3;3;"f"
44;"compensatory";3;3;"f"
44;"compensatory";3;3;"s"
44;"compensatory";3;3;"s"
44;"compensatory";3;3;"f"
44;"compensatory";3;4;"s"
44;"compensatory";3;4;"f"
44;"compensatory";3;4;"f"
44;"compensatory";3;4;"s"
44;"compensatory";3;4;"s"
44;"compensatory";3;4;"b"
44;"compensatory";3;4;"b"
44;"compensatory";3;4;"p"
44;"compensatory";3;4;"p"
44;"compensatory";3;3;"b"
44;"compensatory";3;3;"p"
44;"compensatory";3;3;"b"
44;"compensatory";3;2;"b"
44;"compensatory";3;2;"b"
44;"compensatory";3;1;"b"
44;"compensatory";3;1;"b"
44;"compensatory";3;1;"b"
44;"compensatory";3;1;"s"
44;"compensatory";3;1;"s"
44;"compensatory";3;1;"f"
44;"compensatory";3;1;"p"
44;"compensatory";3;1;"f"
44;"compensatory";3;3;"f"
44;"compensatory";3;3;"f"
44;"compensatory";3;3;"s"
44;"compensatory";3;3;"s"
44;"compensatory";3;3;"s"
44;"compensatory";3;3;"p"
44;"compensatory";3;3;"p"
44;"compensatory";3;3;"f"
44;"compensatory";3;3;"f"
44;"compensatory";3;3;"f"
44;"compensatory";3;3;"s"
44;"compensatory";3;4;"f"
44;"compensatory";3;4;"f"
44;"compensatory";3;4;"f"
44;"compensatory";3;4;"f"
44;"compensatory";3;4;"s"
44;"compensatory";3;4;"s"
44;"compensatory";3;4;"b"
44;"compensatory";3;4;"p"
44;"compensatory";3;4;"p"
44;"compensatory";3;4;"p"
44;"compensatory";3;1;"f"
44;"compensatory";3;1;"f"
44;"compensatory";3;1;"s"
44;"compensatory";3;1;"f"
44;"compensatory";3;1;"s"
44;"compensatory";3;1;"s"
44;"compensatory";3;1;"b"
44;"compensatory";3;1;"p"
44;"compensatory";3;1;"p"
44;"compensatory";3;1;"p"
44;"compensatory";3;1;"p"
44;"compensatory";3;1;"b"
44;"compensatory";3;1;"b"
44;"compensatory";3;1;"p"
44;"compensatory";3;1;"p"
44;"compensatory";3;1;"p"
44;"compensatory";3;2;"b"
44;"compensatory";3;2;"b"
44;"compensatory";3;2;"p"
44;"compensatory";3;2;"p"
44;"compensatory";3;2;"p"
44;"compensatory";3;2;"p"
44;"compensatory";3;2;"p"
44;"compensatory";3;2;"p"
44;"compensatory";3;2;"p"
44;"compensatory";3;2;"f"
44;"compensatory";3;2;"f"
44;"compensatory";3;2;"f"
44;"compensatory";3;2;"f"
44;"compensatory";3;2;"s"
44;"compensatory";3;2;"s"
44;"compensatory";3;2;"s"
44;"compensatory";3;2;"s"
44;"compensatory";3;1;"f"
44;"compensatory";3;1;"f"
44;"compensatory";3;1;"f"
44;"compensatory";3;1;"f"
44;"compensatory";3;1;"s"
44;"compensatory";3;1;"s"
44;"compensatory";3;1;"s"
44;"compensatory";3;4;"b"
44;"compensatory";3;1;"s"
44;"compensatory";3;1;"b"
44;"compensatory";3;1;"b"
44;"compensatory";3;1;"b"
44;"compensatory";3;1;"s"
44;"compensatory";3;1;"s"
44;"compensatory";3;4;"b"
44;"compensatory";3;4;"b"
44;"compensatory";3;4;"b"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"f"
44;"compensatory";4;4;"b"
44;"compensatory";4;4;"b"
44;"compensatory";4;3;"b"
44;"compensatory";4;4;"b"
44;"compensatory";4;4;"f"
44;"compensatory";4;4;"p"
44;"compensatory";4;4;"p"
44;"compensatory";4;4;"s"
44;"compensatory";4;4;"s"
44;"compensatory";4;4;"s"
44;"compensatory";4;4;"s"
44;"compensatory";4;4;"f"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"f"
44;"compensatory";4;2;"f"
44;"compensatory";4;2;"f"
44;"compensatory";4;2;"f"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"p"
44;"compensatory";4;1;"b"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"s"
44;"compensatory";4;1;"f"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"f"
44;"compensatory";4;2;"f"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"p"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"p"
44;"compensatory";4;3;"p"
44;"compensatory";4;3;"p"
44;"compensatory";4;3;"p"
44;"compensatory";4;3;"f"
44;"compensatory";4;3;"f"
44;"compensatory";4;3;"f"
44;"compensatory";4;3;"f"
44;"compensatory";4;3;"f"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;1;"f"
44;"compensatory";4;1;"f"
44;"compensatory";4;1;"s"
44;"compensatory";4;1;"s"
44;"compensatory";4;1;"s"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"b"
44;"compensatory";4;1;"f"
44;"compensatory";4;1;"f"
44;"compensatory";4;1;"s"
44;"compensatory";4;1;"s"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"b"
44;"compensatory";4;1;"b"
44;"compensatory";4;1;"f"
44;"compensatory";4;1;"f"
44;"compensatory";4;1;"f"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"p"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"p"
